representation,feature_dim,position_xy_r2,position_xy_rmse,goal_delta_xy_r2,goal_delta_xy_rmse,velocity_xy_r2,velocity_xy_rmse,acceleration_xy_r2,acceleration_xy_rmse,goal_range_r2,goal_range_mae,speed_r2,speed_mae,acceleration_magnitude_r2,acceleration_magnitude_mae,goal_bearing_cosine,goal_bearing_angular_mae_deg,heading_cosine,heading_angular_mae_deg,acceleration_direction_cosine,acceleration_direction_angular_mae_deg,heading_harmonic_effective_rank,heading_harmonic_dimensions_90pct,speed_vs_heading_overlap,speed_vs_heading_min_angle_deg,heading_vs_acceleration_xy_overlap,heading_vs_acceleration_xy_min_angle_deg,heading_vs_position_xy_overlap,heading_vs_position_xy_min_angle_deg,heading_vs_goal_delta_xy_overlap,heading_vs_goal_delta_xy_min_angle_deg,velocity_xy_vs_acceleration_xy_overlap,velocity_xy_vs_acceleration_xy_min_angle_deg,position_xy_vs_velocity_xy_overlap,position_xy_vs_velocity_xy_min_angle_deg,goal_delta_xy_vs_action_overlap,goal_delta_xy_vs_action_min_angle_deg,speed_vs_action_overlap,speed_vs_action_min_angle_deg,heading_vs_action_overlap,heading_vs_action_min_angle_deg,condition,selected_layer
dino/0/pooled_patches,384,0.9777996892733462,0.14553200477811995,0.9777996892733457,0.14553200477812137,-0.22477040169519347,1.9418374825264095,-0.009823432284726152,0.38436308792298896,0.9724665864672607,0.10757133140710179,-0.06657129244874183,0.9838034710792187,-0.13158725629582224,0.2227925508530675,0.9943529669137281,4.833539644444707,-0.0003954910954183361,90.32594005494386,0.2238370630902572,74.08546137500137,29.452092136458734,26,0.009855615477008505,84.30255064868261,0.2338780011676726,57.07202880680189,0.0035694060462525324,85.1728220337921,0.0035694060462529206,85.17282203379179,0.2172791430877664,61.599777224486125,0.001155865382224894,87.3081658423927,0.011863797278934461,81.61042724839987,0.0036719998030643754,86.5259176897866,0.005012510740832449,84.95937998219794,r0,False
dino/1/pooled_patches,384,0.9855241717272428,0.11751700014037426,0.9855241717272425,0.11751700014037575,-0.1883540667684087,1.9127511290295927,-0.03243881507680002,0.38864323605469553,0.9820817413344854,0.08726216916664341,-0.12207019206742187,1.0118470495164105,-0.209065701718971,0.2302178066160777,0.9954183299676912,4.358732998397394,0.016839508835940094,88.40402276508675,0.2557439148721693,71.27733274175101,29.482870479560777,26,0.0004668706341595828,88.76190288844298,0.19325386085133303,58.98819208504355,0.005154125705802527,84.34494421054949,0.005154125705801428,84.34494421054978,0.19376710585966156,59.40822280488324,0.0049465999699361725,84.34910633236731,0.0034607597067410653,85.28075116107894,0.0011490304157810067,88.05745271292582,0.015869000845797922,80.31992631191379,r0,False
dino/10/pooled_patches,384,0.9937005316535075,0.077523064922975,0.9937005316535077,0.07752306492297345,-0.10880110701359302,1.8476187633470904,0.07566962636971508,0.36773296540226025,0.9928592831931662,0.054754525508179906,-0.016484368835242513,0.9859730207280147,-0.10747630911358019,0.22170696446254715,0.9977986045417052,2.9395074441481954,0.000952432510821781,89.59982009552299,0.2925098070943741,68.4103438705351,29.513668739196586,26,0.0014208406417203939,87.83977884156087,0.21507702418046026,59.420762003280544,0.0072374231761666765,83.46769328891888,0.007237423176166933,83.46769328891865,0.20770792831698137,62.099600101097224,0.006921155495555789,83.64120800964383,0.0010213849861401985,87.48336603646712,0.013765135996780324,83.26225909100648,0.009581110825864093,82.07787027176576,r0,False
dino/11/pooled_patches,384,0.991911497768136,0.08784418953150291,0.991911497768136,0.08784418953150333,-0.11460011468076559,1.8524439672789619,0.045959441924195654,0.3735961316033362,0.9911644467023187,0.061084055495904566,-0.0015327774243043546,0.9743941116911111,-0.046525630886542935,0.2138297869655743,0.9976538729786988,3.101374799437706,0.02139718789480558,88.4674440051481,0.2694566014985072,70.60981484065051,29.499456751991698,26,0.0028025011216836295,86.96542000469917,0.23602625148776674,56.76312683591936,0.002147771714809041,86.35317633046826,0.00214777171480857,86.35317633046887,0.26149633072113293,57.774759621304675,0.0029138187697866523,86.66519039883026,0.0007958298131867784,87.74554381427754,0.008365731542581103,84.75214300121853,0.0056016279902382955,84.37136654343475,r0,False
dino/2/pooled_patches,384,0.9898728423617579,0.0982930407856627,0.9898728423617579,0.09829304078566281,-0.18546637833824953,1.9104257324949565,-0.007720812639225194,0.38396272560320743,0.9874083315814481,0.07304066128683248,-0.07813684862533465,0.9911624553775109,-0.2116351290804499,0.23344474975007812,0.9969251834982825,3.5403278217355605,0.025301733032302584,87.78474531456801,0.22620021069955104,73.4329582809779,29.62002201683414,26,0.0035276747268324768,86.59495722660832,0.2486174990831677,58.30024395183188,0.0026936747028894923,86.57827704052451,0.002693674702889103,86.57827704052409,0.2918107675418017,53.294282150797045,0.001405700542084748,86.96372542262323,0.0026220507460150665,85.85882417999257,0.0013820012673238444,87.8695225765192,0.003843333060735292,86.00359456945385,r0,False
dino/3/pooled_patches,384,0.9945094234592232,0.07237489731251831,0.9945094234592236,0.07237489731251608,-0.18849111000117347,1.9128614168842997,-0.006478430603733321,0.38372596582559415,0.9930896494641334,0.053030135672230784,-0.03705897868340968,0.9882256946872467,-0.15827151055205535,0.2339221193483743,0.9983281545280546,2.5639960759377742,0.0022951704185792793,89.75650598662506,0.2540855555982723,71.64406343011301,29.34651120803348,26,0.006750044827437988,85.28734378723863,0.26893491864417224,56.232385223312654,0.0027289908331629364,85.94976600074625,0.002728990833163488,85.94976600074497,0.2939897689733062,54.272501126859815,0.003202683790782455,85.72205949860447,0.009225038650043205,83.10626794462658,0.0034909556244907933,86.61274568719594,0.015674565518506288,79.80176742465994,r0,False
dino/4/pooled_patches,384,0.9957140454130269,0.06394443700349883,0.995714045413027,0.06394443700349768,-0.1995156219129992,1.9217128439557816,-0.00724790865644942,0.38387262187229093,0.994691932572079,0.047277008510260614,-0.043241872753519095,0.979698872799764,-0.11587262031196399,0.2227046239865744,0.9985817842990827,2.407038200412772,-0.006446302489121988,90.94079836198853,0.21522154586430775,74.18672566367866,29.3133354156048,26,0.004428087173706044,86.1844974271408,0.2117249028439676,59.69640026219463,0.004130402890880781,84.7853698929152,0.004130402890879403,84.7853698929161,0.23836753154561996,58.665296521497474,0.008896048550148243,83.14894680426802,0.001915483812348617,86.56801547867427,0.005361496318863612,85.80091678128962,0.00522593343877379,85.62205765642408,r0,False
dino/5/pooled_patches,384,0.994715230188695,0.07100550543926303,0.994715230188695,0.07100550543926328,-0.14738128591750077,1.8794874048277084,0.018067077606369164,0.379018023453563,0.9919953283962123,0.05844177830895016,-0.025801173981956138,0.9778456306329097,-0.1176005341411388,0.224287916847362,0.9987817615839313,2.2023674839296397,0.0330933305916982,87.43476285956125,0.26936993046272956,70.57887573296038,29.407994344616828,26,0.009627372653663422,84.36912548300361,0.19828736629858162,61.63806793876771,0.001455560513878773,87.02605470165675,0.0014555605138775478,87.02605470165787,0.2032694761188915,60.46298976410614,0.001414959429855246,86.95661417514839,0.00349472307897867,85.91650616755526,0.0006044565379447296,88.59120132719887,0.005218061104910638,84.13983027389993,r0,False
dino/6/cls,384,0.9904782890597513,0.0953095638129679,0.9904782890597513,0.09530956381296758,-0.13407718733308993,1.8685591312869507,0.06359553372075322,0.3701269342744381,0.9870424933482916,0.0736714433872429,0.007655198090386728,0.9632360898072512,-0.09777182189674782,0.21841217762048484,0.9969675506742363,3.492544294033174,0.024495342652498888,87.65343395971956,0.28352941032653484,69.54306464287012,29.277546496148492,26,0.008867739401687082,84.59652608780605,0.19218582007862528,61.4462204295136,0.009465360406911183,82.0916829502166,0.00946536040691304,82.09168295021581,0.20215026769330133,61.80009855521516,0.006536284824533207,83.4368100951636,0.0011268382870444035,87.40540945824829,0.0074662314805420725,85.04304168101645,0.010328630117613995,81.8353535632862,r0,True
dino/6/individual_patches,384,0.9951515649687575,0.06801109633426629,0.9951515649687573,0.06801109633426768,-0.1729745850989184,1.9003335674014332,0.0321144854063341,0.3762971654603985,0.9931109069753329,0.05448789078565972,-0.0414324983193064,0.9890909374436289,-0.13866743861492137,0.22583693749053246,0.998791037158691,2.233726035978944,0.019214801970385626,88.1327406863775,0.27411290587690434,70.14807982958284,29.79406005940728,27,0.014556599564520274,83.07034024881483,0.21274386372019688,59.189062267116725,0.002142757710418433,86.45324457743146,0.002142757710420241,86.45324457742979,0.21906379724690636,58.015298827246674,0.002977614623367251,85.9142518131405,0.0030546997895730733,85.6109161454219,0.002182610397542986,87.32225725396842,0.004283764448368105,84.69255314293797,r0,True
dino/6/pooled_patches,384,0.9951515629760184,0.06801111031077182,0.9951515629760181,0.06801111031077335,-0.1729722714693791,1.9003316932474232,0.03211689956776698,0.3762966961679786,0.9931108837584012,0.0544879245716862,-0.04143336167553091,0.9890901883843548,-0.13866592157855373,0.2258365468988741,0.9987910436149534,2.2337249068204788,0.019213597043159256,88.13282749571404,0.27411178138461756,70.147972750127,29.794071807335232,27,0.014556446941248908,83.07037675518944,0.21274146731984925,59.18919914210977,0.002142733528330083,86.45337405331803,0.002142733528327571,86.45337405332084,0.2190597422321014,58.01563140753635,0.002977464007341873,85.9143444941121,0.0030543691780323765,85.61104671852922,0.002183480654041295,87.32172307955972,0.004281572431370859,84.69384563369773,r0,True
dino/6/projected_aggregate,128,0.9584924782062182,0.19899510237160178,0.9584924782062182,0.19899510237160195,-0.029553894925961277,1.780369237297411,0.19033687446402825,0.3441685103748321,0.9429702921285283,0.15689517601601963,0.07807750114805201,0.927176723206321,0.03942159233881193,0.20710117226551872,0.9938080592825634,5.000826771630833,0.08496626227696591,83.69535574089457,0.38332477390844205,61.648619727654975,20.779600807327,19,0.007901033385896141,84.90037618257354,0.34111601674650305,44.10292614214801,0.10267491763147761,64.10638956266216,0.10267491763147286,64.10638956266331,0.15936921392304418,60.14723832479621,0.058326555618141256,71.39120665362725,0.06760374583491839,68.60548591679499,0.01475767381414922,83.02240738622847,0.07393979972801863,70.12798009451592,r0,True
dino/6/projected_patches,8,0.77193153720377,0.4664569874920125,0.7719315372037714,0.46645698749201103,-0.022360222652507922,1.7741384594557195,0.11126797334778882,0.3605822689745287,0.7476678831849644,0.3324127484130634,0.03123435474039582,0.963169212735827,-4.1005541918437416e-05,0.2122824376855407,0.9541460455449237,13.818787180098349,0.06317415320776987,85.94953053814447,0.2714449272528875,69.64251357467172,3.114062804510174,3,0.6542903302537448,36.01314234559955,0.5036081080787359,19.01238103118157,0.39206651699436323,45.54406212804728,0.39206651699436373,45.544062128047315,0.5928512026658551,19.97909635342642,0.3907095075743626,40.108812765119886,0.49747325311130275,21.626274271611358,0.23334454149778955,61.11471716036778,0.5657644216997704,25.31169360360962,r0,True
dino/7/pooled_patches,384,0.9940123939852118,0.07557977478507384,0.9940123939852118,0.07557977478507398,-0.12269492117610281,1.8591585046207335,0.06434833771455983,0.36997812621804554,0.9925912329653152,0.054935240315453875,-0.050670421855989245,0.9968598323079423,-0.04888797838278203,0.21352640095966194,0.998281513001623,2.7030987714984427,0.010359436452467737,89.5130184609559,0.2922145671743032,68.82550227412902,29.15955905331006,26,0.006738565258800889,85.2913618721533,0.20093974064562195,61.559749730626045,0.007500620337256727,83.04615098340888,0.007500620337256128,83.04615098340886,0.22583056609618402,60.23533671606052,0.009261466354475587,82.33366591485257,0.004345520084665435,84.9666253002038,0.010184268279457554,84.20801433630338,0.002368741868867356,86.06306053158664,r0,False
dino/8/pooled_patches,384,0.9937043832144578,0.07749936209230628,0.9937043832144576,0.07749936209230704,-0.14203528163582257,1.875103736088389,0.06621939043129232,0.3696080125152064,0.9927899573221397,0.05587318039040476,-0.002144306784058303,0.9791983054648961,-0.012187814657667051,0.20967327513353679,0.9981966836561452,2.782348859841624,-0.01505540084961538,90.51435317896663,0.30468754364380723,67.45686819681052,29.08866546060364,26,0.007070439268320763,85.17653715006021,0.2047888285974026,59.83115267831829,0.003718330914622018,85.10367398437316,0.0037183309146244276,85.10367398437162,0.2307961002611593,60.33628225723262,0.007704276472180356,83.57072228295505,0.0014552256479652167,86.98304049068223,0.0057909539238672125,85.63566837421692,0.0026628326904633605,86.13392139864602,r0,False
